1;Fury;Anger;Disgust;Sadness;Joy;Enjoyment;Delight;Pleasure
2;Dejection;Discouragement;Disappointment;Hopelessness;Hope;Illusion;Certainty;Trust
3;Torture;Torment;Anguish;Dejection;Relief;Comfort;Rest;Tranquility
4;Shame;Embarrassment;Blush;Disparagement;Respect;Admiration;Devotion;Pride
5;Fright;Stupor;Bewilderment;Strangeness;Astonishment;Surprise;Seduction;Fascination
6;Insanity;Psychosis;Alienation;Deviance;Caution;Sense;Sanity;Judgment
7;Panic;Horror;Dread;Fear;Daring;Audacity;Determination;Courage
