1;Furia;Enfado;Disgusto;Tristeza;Alegria;Disfrute;Deleite;Placer
2;Abatimiento;Desanimo;Desilusion;Desesperanza;Esperanza;Ilusion;Certeza;Confianza
3;Tortura;Tormento;Angustia;Abatimiento;Alivio;Consuelo;Descanso;Tranquilidad
4;Verguenza;Bochorno;Sonrojo;Apuro;Respeto;Admiracion;Devocion;Orgullo
5;Espanto;Estupor;Desconciento;Extraneza;Asombro;Sorpresa;Impresion;Fascinacion
6;Locura;Psicosis;Enajenacion;Desvario;Cautela;Sensatez;Cordura;Juicio
7;Panico;Horror;Miedo;Temor;Atrevimiento;Audacia;Determinacion;Coraje
