1;Fury;Anger;Disgust;Sadness;Joy;Enjoyment;Delight;Pleasure
2;Dejection;Disappointment;Discouragement;Hopelessness;Hope;Expectation;Optimism;Confidence
3;Torture;Torment;Anguish;Concern;Relief;Relaxation;Peace;Calm
4;Shame;Embarrassment;Contempt;Disparagement;Respect;Admiration;Devotion;Fervor
5;Fright;Stupor;Bewilderment;Strangeness;Astonishment;Surprise;Impress;Fascination
6;Insanity;Madness;Psychosis;Delirium;Caution;Prudence;Sanity;Judgment
7;Panic;Horror;Fear;Nervousness;Dare;Audacity;Courage;Fearlessness
