Adjective;Polarity;Emotion Interval
reprochable;-3;4
repugnante;-5;4
repulsivo;-5;4
reputado;3;4
resabidillo;-2;6
resbaladizo;-1;6
rescatable;2;2
reseco;-2;
reseñable;2;
reservado;-1;6
resignados;-2;3
resistente;3;2
resonante;2;
respetable;3;4
respetado;3;4
respetuoso;4;4
responsable;2;2
resuelto;2;2
resultón;4;2
resumido;3;
retocado;2;5
retorcido;-3;6
retrasado;-1;3
retro;-1;
revelador;-1;5
revenido;-2;3
revolucionario;2;5
revuelto;-2;3
rezagado;-2;3
rico;3;4
ridículo;-3;4
rígido;-2;3
riguroso;3;6
riquísimo;5;4
risueño;3;
rival;-1;4
robusto;2;5
rocambolesco;-3;5
romántico;3;5
romo;-1;
rompedor;4;5
ronco;-1;3
roñoso;-3;3
roto;-2;3
rotundo;4;7
rudo;-3;6
ruidito;-1;3
ruidoso;-2;3
ruinoso;-3;1
rústico;1;4
rutinario;-1;4
sabio;3;3
sabroso;3;
saciado;2;4
sagrado;1;4
salvable;1;6
salvaje;-4;6
sangriento;-3;6
sanguinario;-4;6
sanguinolento;-2;6
sano;2;6
santo;3;2
santurrón;-2;
sarcástico;-3;2
satánico;-5;7
satírico;-2;7
satisfactorio;2;2
satisfecho;2;2
saturado;-3;
seco;-1;3
secreto;-1;5
secuestrado;-3;5
sedoso;3;3
seductor;1;5
seguro;5;2
seleccionado;1;
sencillísimo;4;
sencillo;3;2
senil;-3;4
sensacional;-2;2
sensacionalista;-3;2
sensible;3;2
sensiblero;-4;2
sensibloide;-4;2
sensual;3;3
sensualísimo;4;3
sentimental;-1;3
sentimentaloide;-2;3
sereno;2;2
serio;3;4
servicial;-1;4
servidos;1;
servil;-3;
severo;-2;2
sexual;2;1
sexy;4;1
sigiloso;-2;5
significativo;2;
silencioso;1;5
silvestre;-1;3
simpático;3;4
simple;-1;1
simplificado;-1;1
simplista;-1;1
simplón;-3;1
sincero;3;4
sinfónico;3;
singular;4;5
siniestro;-3;7
sintético;-1;6
sinuoso;-2;3
sobrado;3;4
sobreactuado;-4;4
sobrecogedor;5;5
sobrecogido;3;5
sobresaliente;4;4
sobrio;2;3
socavado;-2;3
social;3;2
soez;-3;1
sofisticado;3;6
soleado;3;3
solemne;1;6
solidario;3;4
sólido;3;6
solitario;-1;2
solo;-1;2
sólo;-1;2
solucionado;2;3
solventado;2;3
sombreado;-2;3
sombrío;-1;3
somero;-2;
sonoro;1;
soñado;3;4
soñador;2;4
soporífero;-1;
soportable;1;4
sórdido;-3;5
sorprendente;3;5
sorprendido;2;5
sorpresivo;-1;5
sosaina;-3;2
sosegado;2;1
soso;-2;2
sospechoso;-2;5
sostenible;1;3
suave;3;1
suavecito;2;1
suavizado;2;1
subdesarrollado;-1;3
subjetivo;2;3
sublime;5;4
subliminal;-2;
subnormal;-3;4
subrealistas;-3;4
subversivo;-3;4
sucio;-2;4
suelto;-1;3
suficiente;2;3
sufrido;-1;3
suicida;-3;6
sulfurado;-4;
sumiso;-2;3
suntuoso;3;3
súpercéntrico;4;3
supercontento;4;1
superficial;-1;3
superfluo;-3;3
superheroico;3;
superior;4;4
supermadura;4;4
supersencilla;4;4
superventas;4;
supremo;4;5
sureño;1;
surrealista;-2;6
sustancial;2;
susurrado;-3;
sutil;2;5
tajante;-1;7
talentoso;3;4
tangible;1;4
taquillero;4;
tecnológico;1;3
tedioso;-2;3
temeroso;-2;4
temperamental;-2;3
temporal;4;2
temprano;1;
tenebroso;-2;7
tenso;-2;7
tentador;2;5
tenue;2;7
tercermundista;-4;4
terminal;-3;
terrenal;1;
terrible;-4;7
terrorífico;-4;7
terrorista;-3;7
terroso;-1;7
testarudo;-3;3
tétrico;-3;7
tibio;-2;
tierno;3;2
tieso;-1;
tímido;-2;
típico;1;5
tirado;3;
todopoderoso;3;
tolerante;1;3
tonto;-3;3
tópico;-1;3
torcido;-1;
tormentoso;-1;3
torpe;-2;6
tórrido;3;
tortuoso;-3;3
torturado;-1;3
tostón;-5;3
tóxico;-4;6
toxicómano;-3;5
trabajado;3;4
trabajador;2;4
tradicional;-1;5
trágico;-3;5
traicionado;-3;3
tramado;-2;5
tranquilito;2;1
tranquilo;2;1
transgénico;-5;3
transparente;1;3
trascendental;3;3
trascendente;3;3
trastornado;-3;5
traúmatico;-4;6
traumatizado;-4;6
travieso;-1;3
tremendista;5;
tremendo;-3;6
trepidante;-2;5
trillado;-4;
triste;-3;1
tristón;-3;
triunfante;3;4
trivial;-1;2
tropical;1;
truculento;-4;
tumultuoso;-2;3
túnido;-3;
turbio;-3;3
turbulento;-3;3
ubicuo;-1;
unidimensional;-2;
unido;2;
uniforme;1;
universal;3;3
urbano;1;
útil;4;2
utilísimo;5;6
utilizable;1;6
utópico;-1;4
vacilante;-1;3
vacío;-1;2
vacuo;-3;
vagabundo;-3;
vago;-3;2
valeroso;4;4
validado;2;6
válido;1;2
valiente;4;2
valioso;3;1
valorado;2;4
vanguardista;3;3
vano;-2;4
variable;-1;3
variado;2;2
variopinto;1;3
vasto;1;2
velludo;-1;
veloz;2;2
vendido;-2;
venenoso;-5;7
vengativo;-3;4
ventajoso;4;2
veraniego;3;
vergonzoso;-3;4
vernáculo;-1;
verosímil;1;3
vertiginoso;1;5
viable;2;2
viciado;-3;1
viejo;-2;4
vigente;1;2
violento;-4;5
virginal;1;
vírico;-4;6
viril;1;
virtuoso;4;4
viscoso;-3;
visible;1;
visionario;4;
vistoso;3;3
vital;2;1
vivo;2;1
voluntarioso;3;2
voluptuoso;4;
vulgar;-4;4
vulnerable;-2;5
yermo;-2;
zafio;-4;4
FALSO;-3;2
VERDADERO;3;2
